Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location
201401BS70446,523490,181570,-0.221533,51.519506,1,2,2,1,12/07/2014,7,17:33,12,E09000020,4,412,6,30,6,4,6,0,0,0,1,1,1,0,0,1,1,E01002876
201401BS70448,526030,177530,-0.186385,51.482637,1,3,2,1,10/07/2014,5,17:44,12,E09000020,3,304,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01002913
201401BS70449,526100,178880,-0.184896,51.494754,1,2,2,2,11/07/2014,6,11:03,12,E09000020,3,4,6,30,6,2,6,0,0,5,1,2,2,0,0,1,1,E01002835
201401BS70450,526240,178610,-0.182977,51.492297,1,3,2,1,10/07/2014,5,17:20,12,E09000020,6,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01002836
201401BS70451,525660,178930,-0.191213,51.495302,1,3,1,1,04/07/2014,6,15:00,12,E09000020,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,2,E01002812
201401BS70452,527820,179710,-0.159832,51.501828,1,3,2,1,06/07/2014,1,15:35,1,E09000033,3,4,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,2,E01002818
201401BS70454,524790,179020,-0.203707,51.496303,1,3,2,1,14/07/2014,2,16:20,12,E09000020,4,314,2,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01002814
201401BS70455,527140,178290,-0.170135,51.489219,1,3,1,1,05/07/2014,7,12:00,12,E09000020,4,304,6,30,0,-1,-1,0,0,0,1,1,1,0,6,1,2,E01002914
201401BS70457,526280,178800,-0.182333,51.493995,1,3,1,1,07/07/2014,2,14:35,12,E09000020,5,0,6,30,3,4,6,0,0,4,1,1,1,0,0,1,2,E01002835
201401BS70460,524110,181810,-0.212517,51.521527,1,3,2,1,16/07/2014,4,17:35,12,E09000020,4,450,6,30,6,4,6,0,0,0,1,1,1,0,0,1,1,E01002905
201401BS70461,524430,180650,-0.208316,51.511032,1,3,2,2,16/07/2014,4,08:44,12,E09000020,6,0,6,30,6,4,6,0,0,0,1,1,1,0,0,1,1,E01002875
201401BS70462,524320,181270,-0.209682,51.516628,1,2,2,3,17/07/2014,5,10:00,12,E09000020,4,450,6,30,6,2,5,0,0,5,1,1,1,0,0,1,1,E01002879
201401BS70463,526990,178630,-0.172172,51.492309,1,3,1,1,17/07/2014,5,11:30,12,E09000020,4,304,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01002821
201401BS70464,525200,180430,-0.197304,51.508884,1,3,2,1,17/07/2014,5,12:05,12,E09000020,3,402,3,30,9,2,3,4206,0,5,1,1,1,0,0,1,1,E01002884
201401BS70466,527240,178090,-0.168767,51.487399,1,3,2,1,17/07/2014,5,11:45,12,E09000020,3,3217,6,30,3,2,4,304,0,5,1,1,1,0,0,1,1,E01002914
201401BS70467,526800,177670,-0.175252,51.483724,1,3,1,1,20/07/2014,1,21:30,12,E09000020,3,3220,6,30,0,-1,-1,0,0,0,4,2,2,0,6,1,1,E01002845
201401BS70469,524270,181710,-0.210247,51.520593,1,3,2,1,21/07/2014,2,07:10,12,E09000020,5,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01002856
201401BS70470,527350,177650,-0.167342,51.48342,1,3,2,1,21/07/2014,2,11:55,12,E09000020,3,3212,6,30,9,2,3,3031,0,5,1,1,1,0,0,1,1,E01002844
201401BS70471,523910,181390,-0.215546,51.517796,1,3,2,2,21/07/2014,2,13:01,12,E09000020,4,412,6,30,1,4,6,0,0,0,1,1,1,0,0,1,1,E01002878
201401BS70472,526240,177360,-0.183423,51.481063,1,2,2,1,18/07/2014,6,15:00,12,E09000020,3,308,6,30,6,2,3,3220,0,5,1,1,1,0,0,1,2,E01002843
201401BS70473,527280,178110,-0.168184,51.48757,1,3,1,1,21/07/2014,2,23:11,12,E09000020,3,3217,6,30,0,-1,-1,0,0,0,4,1,1,0,0,1,1,E01002899
201401BS70474,523150,181570,-0.226431,51.51958,1,3,2,1,12/07/2014,7,14:00,11,E09000013,4,412,6,30,3,4,4,412,0,1,1,1,1,0,0,1,2,E01002908
201401BS70475,526220,178430,-0.183329,51.490683,1,3,2,1,22/07/2014,3,21:00,12,E09000020,3,3218,6,30,6,2,5,0,0,5,1,1,1,0,0,1,1,E01002898
